# line line2 thread mrep count
1 1 1 skip_list 230676
2 1 1 cuckoo 343828
3 1 1 prefix_hash 272488
4 1 1 hash_linkedlist 307350
5 1 1 toss_async 334988
6 1 1 toss_sync 181359
8 8 5 skip_list 318716
9 8 5 cuckoo 420552
10 8 5 prefix_hash 276648
11 8 5 hash_linkedlist 272858
12 8 5 toss_async 410791
13 8 5 toss_sync 219791
15 15 10 skip_list 485722
16 15 10 cuckoo 563822
17 15 10 prefix_hash 328132
18 15 10 hash_linkedlist 250572
19 15 10 toss_async 549570
20 15 10 toss_sync 285190
22 22 15 skip_list 545127
23 22 15 cuckoo 594493
24 22 15 prefix_hash 301260
25 22 15 hash_linkedlist 197680
26 22 15 toss_async 570103
27 22 15 toss_sync 281384
29 29 20 skip_list 378078
30 29 20 cuckoo 596743
31 29 20 prefix_hash 289494
32 29 20 hash_linkedlist 153590
33 29 20 toss_async 589710
34 29 20 toss_sync 296522
36 36 25 skip_list 380186
37 36 25 cuckoo 568318
38 36 25 prefix_hash 281974
39 36 25 hash_linkedlist 133813
40 36 25 toss_async 556672
41 36 25 toss_sync 289523
43 43 30 skip_list 141715
44 43 30 cuckoo 421413
45 43 30 prefix_hash 258326
46 43 30 hash_linkedlist 141074
47 43 30 toss_async 426966
48 43 30 toss_sync 261772
