# line line2 thread mrep count
1 1 1 skip_list 299527
2 1 1 cuckoo 346121
3 1 1 prefix_hash 319858
4 1 1 hash_linkedlist 310984
5 1 1 toss_async 317587
6 1 1 toss_sync 250465
8 8 5 skip_list 354473
9 8 5 cuckoo 437631
10 8 5 prefix_hash 354537
11 8 5 hash_linkedlist 249065
12 8 5 toss_async 421991
13 8 5 toss_sync 318959
15 15 10 skip_list 505316
16 15 10 cuckoo 598457
17 15 10 prefix_hash 436210
18 15 10 hash_linkedlist 215123
19 15 10 toss_async 570651
20 15 10 toss_sync 387047
22 22 15 skip_list 556249
23 22 15 cuckoo 618019
24 22 15 prefix_hash 432262
25 22 15 hash_linkedlist 221907
26 22 15 toss_async 577797
27 22 15 toss_sync 385557
29 29 20 skip_list 388437
30 29 20 cuckoo 610702
31 29 20 prefix_hash 405407
32 29 20 hash_linkedlist 163728
33 29 20 toss_async 568597
34 29 20 toss_sync 383944
36 36 25 skip_list 387276
37 36 25 cuckoo 588055
38 36 25 prefix_hash 380274
39 36 25 hash_linkedlist 106344
40 36 25 toss_async 555482
41 36 25 toss_sync 380001
43 43 30 skip_list 143229
44 43 30 cuckoo 440696
45 43 30 prefix_hash 311288
46 43 30 hash_linkedlist 193151
47 43 30 toss_async 431358
48 43 30 toss_sync 311508
