# line line2 thread mrep count
1 1 1 skip_list 227272
2 1 1 cuckoo 294117
3 1 1 prefix_hash 285714
4 1 1 hash_linkedlist 303030
5 1 1 toss_async 416666
6 1 1 toss_sync 263157
8 8 5 skip_list 925925
9 8 5 cuckoo 1282051
10 8 5 prefix_hash 925925
11 8 5 hash_linkedlist 684931
12 8 5 toss_async 1428571
13 8 5 toss_sync 1041666
15 15 10 skip_list 1149425
16 15 10 cuckoo 980392
17 15 10 prefix_hash 1098901
18 15 10 hash_linkedlist 787401
19 15 10 toss_async 1851851
20 15 10 toss_sync 1234567
22 22 15 skip_list 1200000
23 22 15 cuckoo 1612903
24 22 15 prefix_hash 1376146
25 22 15 hash_linkedlist 568181
26 22 15 toss_async 2205882
27 22 15 toss_sync 1485148
29 29 20 skip_list 1503759
30 29 20 cuckoo 1360544
31 29 20 prefix_hash 1058201
32 29 20 hash_linkedlist 651465
33 29 20 toss_async 1886792
34 29 20 toss_sync 1438848
36 36 25 skip_list 1329787
37 36 25 cuckoo 1908396
38 36 25 prefix_hash 1366120
39 36 25 hash_linkedlist 642673
40 36 25 toss_async 1923076
41 36 25 toss_sync 1736111
43 43 30 skip_list 1401869
44 43 30 cuckoo 2040816
45 43 30 prefix_hash 1102941
46 43 30 hash_linkedlist 1310043
47 43 30 toss_async 2272727
48 43 30 toss_sync 2027027
