# line line2 thread mrep count
1 1 1 skip_list 294117
2 1 1 cuckoo 16
3 1 1 prefix_hash 38461
4 1 1 hash_linkedlist 40000
5 1 1 toss_async 117647
6 1 1 toss_sync 227272
8 8 5 skip_list 1136363
9 8 5 cuckoo 234
10 8 5 prefix_hash 34482
11 8 5 hash_linkedlist 27027
12 8 5 toss_async 641025
13 8 5 toss_sync 1111111
15 15 10 skip_list 1470588
16 15 10 cuckoo 515
17 15 10 prefix_hash 15151
18 15 10 hash_linkedlist 18867
19 15 10 toss_async 925925
20 15 10 toss_sync 1086956
22 22 15 skip_list 1304347
23 22 15 cuckoo 786
24 22 15 prefix_hash 14084
25 22 15 hash_linkedlist 12195
26 22 15 toss_async 1376146
27 22 15 toss_sync 1704545
29 29 20 skip_list 1438848
30 29 20 cuckoo 824
31 29 20 prefix_hash 10752
32 29 20 hash_linkedlist 3424
33 29 20 toss_async 1600000
34 29 20 toss_sync 2272727
36 36 25 skip_list 1533742
37 36 25 cuckoo 848
38 36 25 prefix_hash 8620
39 36 25 hash_linkedlist 8695
40 36 25 toss_async 2083333
41 36 25 toss_sync 2403846
43 43 30 skip_list 1724137
44 43 30 cuckoo 933
45 43 30 prefix_hash 7092
46 43 30 hash_linkedlist 9615
47 43 30 toss_async 2290076
48 43 30 toss_sync 2255639
