# line thread mrep count
1 1 skip_list 169609
2 1 cuckoo 322918
3 1 prefix_hash 232225
4 1 hash_linkedlist 220240
5 1 toss_async 296986
6 1 toss_sync 121893
8 2 skip_list 138768
9 2 cuckoo 227899
10 2 prefix_hash 185400
11 2 hash_linkedlist 168273
12 2 toss_async 226457
13 2 toss_sync 114090
15 4 skip_list 236202
16 4 cuckoo 365869
17 4 prefix_hash 244944
18 4 hash_linkedlist 213822
19 4 toss_async 352871
20 4 toss_sync 124578
22 8 skip_list 365250
23 8 cuckoo 514149
24 8 prefix_hash 289789
25 8 hash_linkedlist 234306
26 8 toss_async 506884
27 8 toss_sync 154644
29 16 skip_list 428562
30 16 cuckoo 517469
31 16 prefix_hash 265773
32 16 hash_linkedlist 182502
33 16 toss_async 507451
34 16 toss_sync 126662
