# line line2 thread mrep count
1 1 1 skip_list 906748
2 1 1 cuckoo 1999882
3 1 1 toss_async 1968057
4 1 1 toss_sync 1047248
5 1 1 toss_ccuck 1961272
7 7 5 skip_list 3063300
8 7 5 cuckoo 6233639
9 7 5 toss_async 6777866
10 7 5 toss_sync 3914073
11 7 5 toss_ccuck 6180216
13 13 10 skip_list 6540205
14 13 10 cuckoo 12635735
15 13 10 toss_async 12776044
16 13 10 toss_sync 5675645
17 13 10 toss_ccuck 12207916
19 19 15 skip_list 8512637
20 19 15 cuckoo 11953070
21 19 15 toss_async 11252884
22 19 15 toss_sync 7293254
23 19 15 toss_ccuck 11792007
25 25 20 skip_list 6144245
26 25 20 cuckoo 12929292
27 25 20 toss_async 12326953
28 25 20 toss_sync 7090430
29 25 20 toss_ccuck 10196156
31 31 25 skip_list 7598130
32 31 25 cuckoo 13730222
33 31 25 toss_async 14212352
34 31 25 toss_sync 9018847
35 31 25 toss_ccuck 13139997
37 37 30 skip_list 6850662
38 37 30 cuckoo 12512525
39 37 30 toss_async 13095024
40 37 30 toss_sync 10686775
41 37 30 toss_ccuck 12003516
