# line line2 thread mrep count
1 1 1 skip_list 6120621
2 1 1 cuckoo 531514
3 1 1 toss_async 6514763
4 1 1 toss_sync 6501659
5 1 1 toss_ccuck 530298
7 7 5 skip_list 11407178
8 7 5 cuckoo 661637
9 7 5 toss_async 25661115
10 7 5 toss_sync 24493015
11 7 5 toss_ccuck 661826
13 13 10 skip_list 13960463
14 13 10 cuckoo 689492
15 13 10 toss_async 35955056
16 13 10 toss_sync 36954168
17 13 10 toss_ccuck 697248
19 19 15 skip_list 10323653
20 19 15 cuckoo 598733
21 19 15 toss_async 28355026
22 19 15 toss_sync 29312911
23 19 15 toss_ccuck 619070
25 25 20 skip_list 8455821
26 25 20 cuckoo 450066
27 25 20 toss_async 24530186
28 25 20 toss_sync 25403125
29 25 20 toss_ccuck 466495
31 31 25 skip_list 7439157
32 31 25 cuckoo 380479
33 31 25 toss_async 23272500
34 31 25 toss_sync 23411065
35 31 25 toss_ccuck 411530
37 37 30 skip_list 5849854
38 37 30 cuckoo 331061
39 37 30 toss_async 21788465
40 37 30 toss_sync 22234527
41 37 30 toss_ccuck 341126
