# line thread mrep count
1 1 skip_list 307589
2 1 cuckoo 319744
3 1 prefix_hash 249481
4 1 hash_linkedlist 216402
5 1 toss_async 305774
6 1 toss_sync 224010
8 2 skip_list 200564
9 2 cuckoo 232889
10 2 prefix_hash 189553
11 2 hash_linkedlist 171802
12 2 toss_async 231757
13 2 toss_sync 184755
15 4 skip_list 315988
16 4 cuckoo 390106
17 4 prefix_hash 266916
18 4 hash_linkedlist 205219
19 4 toss_async 370527
20 4 toss_sync 291244
22 8 skip_list 448135
23 8 cuckoo 513715
24 8 prefix_hash 322910
25 8 hash_linkedlist 211917
26 8 toss_async 512681
27 8 toss_sync 342811
29 16 skip_list 497522
30 16 cuckoo 514866
31 16 prefix_hash 392963
32 16 hash_linkedlist 186245
33 16 toss_async 519093
34 16 toss_sync 333841
36 32 skip_list 143630
37 32 cuckoo 440804
38 32 prefix_hash 321608
39 32 hash_linkedlist 220634
40 32 toss_async 431900
41 32 toss_sync 291720
