# line thread mrep count
1 1 skip_list 62111
2 1 cuckoo 9033
3 1 prefix_hash 87719
4 1 hash_linkedlist 65359
5 1 toss_async 29
6 1 toss_sync 82644
8 2 skip_list 57803
9 2 cuckoo 127388
10 2 prefix_hash 144927
11 2 hash_linkedlist 136986
12 2 toss_async 194174
13 2 toss_sync 132450
15 4 skip_list 245398
16 4 cuckoo 353982
17 4 prefix_hash 327868
18 4 hash_linkedlist 258064
19 4 toss_async 1025641
20 4 toss_sync 320000
22 8 skip_list 683760
23 8 cuckoo 1095890
24 8 prefix_hash 909090
25 8 hash_linkedlist 695652
26 8 toss_async 418848
27 8 toss_sync 720720
29 16 skip_list 765550
30 16 cuckoo 1720430
31 16 prefix_hash 1126760
32 16 hash_linkedlist 655737
33 16 toss_async 1649484
34 16 toss_sync 1300813
36 32 skip_list 903954
37 32 cuckoo 1927710
38 32 prefix_hash 1441441
39 32 hash_linkedlist 786240
40 32 toss_async 2406015
41 32 toss_sync 1658031
