# line thread mrep count
1 1 skip_list 97087
2 1 cuckoo 0
3 1 prefix_hash 144927
4 1 hash_linkedlist 142857
5 1 toss_async 112359
6 1 toss_sync 86206
8 2 skip_list 196078
9 2 cuckoo 0
10 2 prefix_hash 204081
11 2 hash_linkedlist 224719
12 2 toss_async 180180
13 2 toss_sync 208333
15 4 skip_list 363636
16 4 cuckoo 0
17 4 prefix_hash 444444
18 4 hash_linkedlist 400000
19 4 toss_async 454545
20 4 toss_sync 396039
22 8 skip_list 792079
23 8 cuckoo 2
24 8 prefix_hash 898876
25 8 hash_linkedlist 701754
26 8 toss_async 327868
27 8 toss_sync 701754
29 16 skip_list 1088435
30 16 cuckoo 7
31 16 prefix_hash 1311475
32 16 hash_linkedlist 575539
33 16 toss_async 816326
34 16 toss_sync 1212121
36 32 skip_list 735632
37 32 cuckoo 30
38 32 prefix_hash 1259842
39 32 hash_linkedlist 1748633
40 32 toss_async 42094
41 32 toss_sync 1592039
