# line line2 thread mrep count
1 1 1 skip_list 227845
2 1 1 cuckoo 337150
3 1 1 prefix_hash 271472
4 1 1 hash_linkedlist 338132
5 1 1 toss_async 333239
6 1 1 toss_sync 178577
8 8 2 skip_list 173350
9 8 2 cuckoo 234298
10 8 2 prefix_hash 194639
11 8 2 hash_linkedlist 205978
12 8 2 toss_async 226541
13 8 2 toss_sync 144434
15 15 4 skip_list 297114
16 15 4 cuckoo 371027
17 15 4 prefix_hash 266023
18 15 4 hash_linkedlist 269051
19 15 4 toss_async 346360
20 15 4 toss_sync 192253
22 22 8 skip_list 451544
23 22 8 cuckoo 542193
24 22 8 prefix_hash 307985
25 22 8 hash_linkedlist 273844
26 22 8 toss_async 518188
27 22 8 toss_sync 272991
29 29 16 skip_list 537188
30 29 16 cuckoo 575324
31 29 16 prefix_hash 285533
32 29 16 hash_linkedlist 184474
33 29 16 toss_async 564411
34 29 16 toss_sync 279077
36 36 32 skip_list 143026
37 36 32 cuckoo 415950
38 36 32 prefix_hash 251878
39 36 32 hash_linkedlist 147645
40 36 32 toss_async 405967
41 36 32 toss_sync 267522
