# line line2 thread mrep count
1 1 1 skip_list 296975
2 1 1 cuckoo 342050
3 1 1 prefix_hash 324103
4 1 1 hash_linkedlist 305198
5 1 1 toss_async 322216
6 1 1 toss_sync 244535
8 8 2 skip_list 198867
9 8 2 cuckoo 237455
10 8 2 prefix_hash 212422
11 8 2 hash_linkedlist 199896
12 8 2 toss_async 230597
13 8 2 toss_sync 189215
15 15 4 skip_list 319235
16 15 4 cuckoo 377918
17 15 4 prefix_hash 292045
18 15 4 hash_linkedlist 260173
19 15 4 toss_async 368972
20 15 4 toss_sync 269156
22 22 8 skip_list 491875
23 22 8 cuckoo 561950
24 22 8 prefix_hash 400527
25 22 8 hash_linkedlist 246140
26 22 8 toss_async 533473
27 22 8 toss_sync 365988
29 29 16 skip_list 564668
30 29 16 cuckoo 608248
31 29 16 prefix_hash 417524
32 29 16 hash_linkedlist 233551
33 29 16 toss_async 545137
34 29 16 toss_sync 390806
36 36 32 skip_list 146221
37 36 32 cuckoo 433964
38 36 32 prefix_hash 324259
39 36 32 hash_linkedlist 175820
40 36 32 toss_async 417321
41 36 32 toss_sync 312268
