# line line2 thread mrep count
1 1 1 skip_list 169491
2 1 1 cuckoo 285714
3 1 1 prefix_hash 270270
4 1 1 hash_linkedlist 285714
5 1 1 toss_async 303030
6 1 1 toss_sync 256410
8 8 2 skip_list 384615
9 8 2 cuckoo 465116
10 8 2 prefix_hash 434782
11 8 2 hash_linkedlist 444444
12 8 2 toss_async 666666
13 8 2 toss_sync 588235
15 15 4 skip_list 769230
16 15 4 cuckoo 519480
17 15 4 prefix_hash 634920
18 15 4 hash_linkedlist 547945
19 15 4 toss_async 1212121
20 15 4 toss_sync 1025641
22 22 8 skip_list 1111111
23 22 8 cuckoo 963855
24 22 8 prefix_hash 1194029
25 22 8 hash_linkedlist 975609
26 22 8 toss_async 919540
27 22 8 toss_sync 1290322
29 29 16 skip_list 1167883
30 29 16 cuckoo 2000000
31 29 16 prefix_hash 1151079
32 29 16 hash_linkedlist 617760
33 29 16 toss_async 1538461
34 29 16 toss_sync 1632653
36 36 32 skip_list 1338912
37 36 32 cuckoo 2206896
38 36 32 prefix_hash 1397379
39 36 32 hash_linkedlist 1373390
40 36 32 toss_async 2285714
41 36 32 toss_sync 1939393
