# line line2 thread mrep count
1 1 1 skip_list 322580
2 1 1 cuckoo 16
3 1 1 prefix_hash 37037
4 1 1 hash_linkedlist 40000
5 1 1 toss_async 135135
6 1 1 toss_sync 277777
8 8 2 skip_list 526315
9 8 2 cuckoo 48
10 8 2 prefix_hash 38461
11 8 2 hash_linkedlist 38461
12 8 2 toss_async 270270
13 8 2 toss_sync 606060
15 15 4 skip_list 869565
16 15 4 cuckoo 116
17 15 4 prefix_hash 21276
18 15 4 hash_linkedlist 37037
19 15 4 toss_async 296296
20 15 4 toss_sync 1212121
22 22 8 skip_list 1142857
23 22 8 cuckoo 372
24 22 8 prefix_hash 12345
25 22 8 hash_linkedlist 5617
26 22 8 toss_async 714285
27 22 8 toss_sync 1142857
29 29 16 skip_list 1391304
30 29 16 cuckoo 865
31 29 16 prefix_hash 12195
32 29 16 hash_linkedlist 10000
33 29 16 toss_async 1379310
34 29 16 toss_sync 1927710
36 36 32 skip_list 2133333
37 36 32 cuckoo 904
38 36 32 prefix_hash 8333
39 36 32 hash_linkedlist 8474
40 36 32 toss_async 2370370
41 36 32 toss_sync 1134751
