# line line2 thread mrep count
1 1 1 skip_list 225213
2 1 1 cuckoo 340697
3 1 1 prefix_hash 274942
4 1 1 hash_linkedlist 307666
5 1 1 toss_async 329709
6 1 1 toss_sync 183415
8 8 2 skip_list 175256
9 8 2 cuckoo 232540
10 8 2 prefix_hash 223577
11 8 2 hash_linkedlist 205844
12 8 2 toss_async 288489
13 8 2 toss_sync 148732
15 15 4 skip_list 285217
16 15 4 cuckoo 371842
17 15 4 prefix_hash 253293
18 15 4 hash_linkedlist 268514
19 15 4 toss_async 345797
20 15 4 toss_sync 209233
22 22 8 skip_list 444791
23 22 8 cuckoo 534977
24 22 8 prefix_hash 313573
25 22 8 hash_linkedlist 272504
26 22 8 toss_async 521281
27 22 8 toss_sync 272903
29 29 16 skip_list 523334
30 29 16 cuckoo 579373
31 29 16 prefix_hash 297482
32 29 16 hash_linkedlist 185113
33 29 16 toss_async 541727
34 29 16 toss_sync 286818
36 36 32 skip_list 141627
37 36 32 cuckoo 417871
38 36 32 prefix_hash 256773
39 36 32 hash_linkedlist 150746
40 36 32 toss_async 412196
41 36 32 toss_sync 263624
