# line line2 thread mrep count
1 1 1 skip_list 305096
2 1 1 cuckoo 376140
3 1 1 prefix_hash 326301
4 1 1 hash_linkedlist 308674
5 1 1 toss_async 323031
6 1 1 toss_sync 246677
8 8 2 skip_list 200914
9 8 2 cuckoo 232688
10 8 2 prefix_hash 214124
11 8 2 hash_linkedlist 201639
12 8 2 toss_async 227358
13 8 2 toss_sync 187009
15 15 4 skip_list 314406
16 15 4 cuckoo 381512
17 15 4 prefix_hash 305397
18 15 4 hash_linkedlist 244925
19 15 4 toss_async 355857
20 15 4 toss_sync 288067
22 22 8 skip_list 472464
23 22 8 cuckoo 550446
24 22 8 prefix_hash 418167
25 22 8 hash_linkedlist 238916
26 22 8 toss_async 541434
27 22 8 toss_sync 373786
29 29 16 skip_list 554600
30 29 16 cuckoo 607332
31 29 16 prefix_hash 429746
32 29 16 hash_linkedlist 231200
33 29 16 toss_async 533884
34 29 16 toss_sync 383399
36 36 32 skip_list 145675
37 36 32 cuckoo 435592
38 36 32 prefix_hash 308713
39 36 32 hash_linkedlist 157788
40 36 32 toss_async 420862
41 36 32 toss_sync 312302
