# line line2 thread mrep count
1 1 1 skip_list 232558
2 1 1 cuckoo 285714
3 1 1 prefix_hash 277777
4 1 1 hash_linkedlist 263157
5 1 1 toss_async 357142
6 1 1 toss_sync 256410
8 8 2 skip_list 384615
9 8 2 cuckoo 606060
10 8 2 prefix_hash 377358
11 8 2 hash_linkedlist 454545
12 8 2 toss_async 500000
13 8 2 toss_sync 512820
15 15 4 skip_list 689655
16 15 4 cuckoo 1052631
17 15 4 prefix_hash 769230
18 15 4 hash_linkedlist 634920
19 15 4 toss_async 1290322
20 15 4 toss_sync 930232
22 22 8 skip_list 1095890
23 22 8 cuckoo 1269841
24 22 8 prefix_hash 1311475
25 22 8 hash_linkedlist 851063
26 22 8 toss_async 1666666
27 22 8 toss_sync 1212121
29 29 16 skip_list 1103448
30 29 16 cuckoo 1441441
31 29 16 prefix_hash 1240310
32 29 16 hash_linkedlist 645161
33 29 16 toss_async 2077922
34 29 16 toss_sync 1523809
36 36 32 skip_list 1531100
37 36 32 cuckoo 2162162
38 36 32 prefix_hash 1203007
39 36 32 hash_linkedlist 1560975
40 36 32 toss_async 1939393
41 36 32 toss_sync 1987577
