# line line2 thread mrep count
1 1 1 skip_list 277777
2 1 1 cuckoo 15
3 1 1 prefix_hash 40000
4 1 1 hash_linkedlist 37037
5 1 1 toss_async 112359
6 1 1 toss_sync 227272
8 8 2 skip_list 526315
9 8 2 cuckoo 46
10 8 2 prefix_hash 28571
11 8 2 hash_linkedlist 37037
12 8 2 toss_async 198019
13 8 2 toss_sync 645161
15 15 4 skip_list 555555
16 15 4 cuckoo 101
17 15 4 prefix_hash 34482
18 15 4 hash_linkedlist 37037
19 15 4 toss_async 373831
20 15 4 toss_sync 930232
22 22 8 skip_list 446927
23 22 8 cuckoo 337
24 22 8 prefix_hash 21276
25 22 8 hash_linkedlist 15384
26 22 8 toss_async 1290322
27 22 8 toss_sync 1230769
29 29 16 skip_list 1553398
30 29 16 cuckoo 826
31 29 16 prefix_hash 11764
32 29 16 hash_linkedlist 10000
33 29 16 toss_async 1467889
34 29 16 toss_sync 2162162
36 36 32 skip_list 1748633
37 36 32 cuckoo 946
38 36 32 prefix_hash 7633
39 36 32 hash_linkedlist 7751
40 36 32 toss_async 1939393
41 36 32 toss_sync 2500000
