# line line2 thread mrep count
1 1 1 skip_list 227269
2 1 1 cuckoo 363152
3 1 1 prefix_hash 274121
4 1 1 hash_linkedlist 299638
5 1 1 toss_async 323996
6 1 1 toss_sync 179601
8 8 5 skip_list 318586
9 8 5 cuckoo 425494
10 8 5 prefix_hash 273152
11 8 5 hash_linkedlist 269572
12 8 5 toss_async 397695
13 8 5 toss_sync 217565
15 15 10 skip_list 496036
16 15 10 cuckoo 563371
17 15 10 prefix_hash 331208
18 15 10 hash_linkedlist 255484
19 15 10 toss_async 546145
20 15 10 toss_sync 294928
22 22 15 skip_list 529894
23 22 15 cuckoo 580527
24 22 15 prefix_hash 289952
25 22 15 hash_linkedlist 197795
26 22 15 toss_async 565007
27 22 15 toss_sync 277657
29 29 20 skip_list 374351
30 29 20 cuckoo 591307
31 29 20 prefix_hash 284800
32 29 20 hash_linkedlist 154439
33 29 20 toss_async 570759
34 29 20 toss_sync 283267
36 36 25 skip_list 384349
37 36 25 cuckoo 570030
38 36 25 prefix_hash 274435
39 36 25 hash_linkedlist 132460
40 36 25 toss_async 554700
41 36 25 toss_sync 289548
43 43 30 skip_list 141889
44 43 30 cuckoo 419004
45 43 30 prefix_hash 254270
46 43 30 hash_linkedlist 144242
47 43 30 toss_async 421038
48 43 30 toss_sync 259917
50 50 35 skip_list 143045
51 50 35 cuckoo 412154
52 50 35 prefix_hash 264092
53 50 35 hash_linkedlist 157846
54 50 35 toss_async 397896
55 50 35 toss_sync 269203
57 57 40 skip_list 144265
58 57 40 cuckoo 402001
59 57 40 prefix_hash 264919
60 57 40 hash_linkedlist 169555
61 57 40 toss_async 394096
62 57 40 toss_sync 282958
