# line line2 thread mrep count
1 1 1 skip_list 319223
2 1 1 cuckoo 391323
3 1 1 prefix_hash 324273
4 1 1 hash_linkedlist 298806
5 1 1 toss_async 314606
6 1 1 toss_sync 248979
8 8 5 skip_list 349727
9 8 5 cuckoo 424428
10 8 5 prefix_hash 353087
11 8 5 hash_linkedlist 245153
12 8 5 toss_async 421775
13 8 5 toss_sync 317229
15 15 10 skip_list 498201
16 15 10 cuckoo 590154
17 15 10 prefix_hash 425736
18 15 10 hash_linkedlist 231667
19 15 10 toss_async 571993
20 15 10 toss_sync 388005
22 22 15 skip_list 550151
23 22 15 cuckoo 602832
24 22 15 prefix_hash 409316
25 22 15 hash_linkedlist 224398
26 22 15 toss_async 576623
27 22 15 toss_sync 391070
29 29 20 skip_list 373196
30 29 20 cuckoo 610743
31 29 20 prefix_hash 406879
32 29 20 hash_linkedlist 157925
33 29 20 toss_async 560835
34 29 20 toss_sync 381522
36 36 25 skip_list 390438
37 36 25 cuckoo 576258
38 36 25 prefix_hash 373800
39 36 25 hash_linkedlist 127809
40 36 25 toss_async 549881
41 36 25 toss_sync 367301
43 43 30 skip_list 145365
44 43 30 cuckoo 437222
45 43 30 prefix_hash 322245
46 43 30 hash_linkedlist 146641
47 43 30 toss_async 422899
48 43 30 toss_sync 305247
50 50 35 skip_list 146018
51 50 35 cuckoo 422552
52 50 35 prefix_hash 321541
53 50 35 hash_linkedlist 168747
54 50 35 toss_async 410043
55 50 35 toss_sync 310602
57 57 40 skip_list 145856
58 57 40 cuckoo 422119
59 57 40 prefix_hash 318675
60 57 40 hash_linkedlist 221236
61 57 40 toss_async 401587
62 57 40 toss_sync 316679
