# line line2 thread mrep count
1 1 1 skip_list 227272
2 1 1 cuckoo 263157
3 1 1 prefix_hash 303030
4 1 1 hash_linkedlist 303030
5 1 1 toss_async 357142
6 1 1 toss_sync 303030
8 8 5 skip_list 735294
9 8 5 cuckoo 1041666
10 8 5 prefix_hash 714285
11 8 5 hash_linkedlist 641025
12 8 5 toss_async 1428571
13 8 5 toss_sync 1063829
15 15 10 skip_list 1086956
16 15 10 cuckoo 1123595
17 15 10 prefix_hash 1010101
18 15 10 hash_linkedlist 826446
19 15 10 toss_async 1666666
20 15 10 toss_sync 1020408
22 22 15 skip_list 1153846
23 22 15 cuckoo 1315789
24 22 15 prefix_hash 1041666
25 22 15 hash_linkedlist 583657
26 22 15 toss_async 1807228
27 22 15 toss_sync 1562500
29 29 20 skip_list 1574803
30 29 20 cuckoo 1869158
31 29 20 prefix_hash 1369863
32 29 20 hash_linkedlist 540540
33 29 20 toss_async 2020202
34 29 20 toss_sync 751879
36 36 25 skip_list 1506024
37 36 25 cuckoo 1677852
38 36 25 prefix_hash 1308900
39 36 25 hash_linkedlist 637755
40 36 25 toss_async 1461988
41 36 25 toss_sync 1497005
43 43 30 skip_list 1276595
44 43 30 cuckoo 2158273
45 43 30 prefix_hash 1333333
46 43 30 hash_linkedlist 1351351
47 43 30 toss_async 2027027
48 43 30 toss_sync 1442307
50 50 35 skip_list 1476793
51 50 35 cuckoo 2023121
52 50 35 prefix_hash 1405622
53 50 35 hash_linkedlist 1388888
54 50 35 toss_async 2011494
55 50 35 toss_sync 1666666
57 57 40 skip_list 1659751
58 57 40 cuckoo 828157
59 57 40 prefix_hash 1379310
60 57 40 hash_linkedlist 1532567
61 57 40 toss_async 863930
62 57 40 toss_sync 1951219
