# line line2 thread mrep count
1 1 1 skip_list 312500
2 1 1 cuckoo 16
3 1 1 prefix_hash 40000
4 1 1 hash_linkedlist 35714
5 1 1 toss_async 117647
6 1 1 toss_sync 333333
8 8 5 skip_list 1020408
9 8 5 cuckoo 159
10 8 5 prefix_hash 35714
11 8 5 hash_linkedlist 15151
12 8 5 toss_async 500000
13 8 5 toss_sync 1041666
15 15 10 skip_list 1315789
16 15 10 cuckoo 516
17 15 10 prefix_hash 14084
18 15 10 hash_linkedlist 16393
19 15 10 toss_async 884955
20 15 10 toss_sync 1010101
22 22 15 skip_list 1282051
23 22 15 cuckoo 781
24 22 15 prefix_hash 4608
25 22 15 hash_linkedlist 14084
26 22 15 toss_async 1704545
27 22 15 toss_sync 1875000
29 29 20 skip_list 1550387
30 29 20 cuckoo 808
31 29 20 prefix_hash 13698
32 29 20 hash_linkedlist 11235
33 29 20 toss_async 1652892
34 29 20 toss_sync 1834862
36 36 25 skip_list 2000000
37 36 25 cuckoo 894
38 36 25 prefix_hash 7936
39 36 25 hash_linkedlist 7812
40 36 25 toss_async 2100840
41 36 25 toss_sync 708215
43 43 30 skip_list 1986754
44 43 30 cuckoo 934
45 43 30 prefix_hash 8264
46 43 30 hash_linkedlist 8333
47 43 30 toss_async 757575
48 43 30 toss_sync 2000000
50 50 35 skip_list 1170568
51 50 35 cuckoo 964
52 50 35 prefix_hash 8403
53 50 35 hash_linkedlist 6666
54 50 35 toss_async 2800000
55 50 35 toss_sync 2692307
57 57 40 skip_list 925925
58 57 40 cuckoo 975
59 57 40 prefix_hash 6451
60 57 40 hash_linkedlist 6756
61 57 40 toss_async 1058201
62 57 40 toss_sync 2857142
